year,ev_sales_share_cars,ev_stock_share_cars,chargers_total,chargers_fast,chargers_slow,iso3c,gdp_pc_ppp,population,country,income_group,brent_usd,chargers_per_mn,chargers_per_mn_itp,ln_gdp_pc_ppp,ln_population,ln_brent,ln_chargers_per_mn,ln_charger_density_itp,chargers_growth,chargers_growth_lag1
2023,3.9,0.44,1040.0,160.0,880.0,COL,21246.3762695201,52321152,Colombia,UMC,82.46833333333333,19.877238177018732,19.877238177018732,9.963941631317754,17.77291128321944,4.412414381271988,2.9895752668802515,2.9895752668802515,0.49855907780979836,0.552572706935123
2024,7.4,0.79,1100.0,120.0,980.0,COL,22349.436440123,52886363,Colombia,UMC,80.52666666666666,20.799312669695208,20.799312669695208,10.014556384516782,17.783656075315644,4.388588392509022,3.0349199414350916,3.0349199414350916,0.05769230769230771,0.49855907780979836
2019,1.2,0.079,,,,CRI,23339.6091317787,4999553,Costa Rica,HIC,64.35833333333333,,118.57735630993592,10.057907158989895,15.424859066401956,4.164466425787218,,4.775565543461086,,
2020,2.5,0.14,,,,CRI,22099.8678127394,5034320,Costa Rica,HIC,41.759166666666665,,118.57735630993592,10.003326906163947,15.431789020396428,3.731918988075146,,4.775565543461086,,
2021,3.6,0.24,600.0,,600.0,CRI,23852.9253020002,5059988,Costa Rica,HIC,70.6775,118.57735630993592,118.57735630993592,10.079662142966995,15.436874669719334,4.2581272761411615,4.775565543461086,4.775565543461086,,
2022,7.6,0.48,750.0,,750.0,CRI,26226.2754815949,5081765,Costa Rica,HIC,100.77749999999999,147.58651767643724,147.58651767643724,10.174517068176936,15.441169200155919,4.612915116435538,4.994414564338712,4.994414564338712,0.25,
2023,13.0,0.97,1010.0,170.0,840.0,CRI,28908.7688743191,5105525,Costa Rica,HIC,82.46833333333333,197.82490537212138,197.82490537212138,10.271900249334319,15.445833844645792,4.412414381271988,5.287382323153787,5.287382323153787,0.3466666666666667,0.25
2024,15.0,1.9,1370.0,170.0,1200.0,CRI,31106.7643556729,5129910,Costa Rica,HIC,80.52666666666666,267.0612154989074,267.0612154989074,10.345180577914734,15.450598673133408,4.388588392509022,5.587477903653037,5.587477903653037,0.35643564356435653,0.3466666666666667
2015,0.73,0.097,5070.0,470.0,4600.0,DEU,48545.400721962,81686611,Germany,HIC,52.35333333333333,62.066475006534425,62.066475006534425,10.790254736419717,18.21840066635147,3.9580156092786187,4.128205988198034,4.128205988198034,0.8639705882352942,0.11156518185533315
2016,0.74,0.14,7500.0,1700.0,5800.0,DEU,51569.9016841199,82348669,Germany,HIC,43.54833333333334,91.0761532769886,91.0761532769886,10.85069348058827,18.22647285173721,3.7738714323786655,4.5116960057514675,4.5116960057514675,0.47928994082840237,0.8639705882352942
2017,1.6,0.22,11600.0,2200.0,9400.0,DEU,54110.2536648812,82657002,Germany,HIC,54.2475,140.33898785731424,140.33898785731424,10.898778978574068,18.230210097336165,3.9935569084094085,4.944060837722564,4.944060837722564,0.5466666666666666,0.47928994082840237
2018,2.0,0.35,19900.0,2900.0,17000.0,DEU,56273.0405627017,82905782,Germany,HIC,71.06083333333333,240.03150950316106,240.03150950316106,10.937970846202976,18.233215364356088,4.263536317703028,5.480770204320771,5.480770204320771,0.7155172413793103,0.5466666666666666
2019,3.0,0.5,29200.0,3200.0,26000.0,DEU,59270.7276496985,83092962,Germany,HIC,64.35833333333333,351.41363717422905,351.41363717422905,10.989870831570004,18.235470563098215,4.164466425787218,5.861963983122432,5.861963983122432,0.46733668341708534,0.7155172413793103
2020,14.0,1.3,43300.0,6300.0,37000.0,DEU,58685.872699771,83160871,Germany,HIC,41.759166666666665,520.6775672178807,520.6775672178807,10.97995430734077,18.23628749468471,3.731918988075146,6.255130977270145,6.255130977270145,0.48287671232876717,0.46733668341708534
2021,26.0,2.6,59500.0,9500.0,50000.0,DEU,62530.7653199239,83196078,Germany,HIC,70.6775,715.1779438449009,715.1779438449009,11.04341395973039,18.236710765257264,4.2581272761411615,6.572531384240732,6.572531384240732,0.37413394919168597,0.48287671232876717
2022,31.0,3.8,86000.0,15000.0,71000.0,DEU,69048.9884036885,83177813,Germany,HIC,100.77749999999999,1033.929564846818,1033.929564846818,11.142571508530102,18.236491199555413,4.612915116435538,6.941121933644506,6.941121933644506,0.4453781512605042,0.37413394919168597
2023,24.0,5.2,110000.0,23000.0,87000.0,DEU,71684.0311875583,83287273,Germany,HIC,82.46833333333333,1320.7299991680602,1320.7299991680602,11.18002328473319,18.23780631035019,4.412414381271988,7.185939892388636,7.185939892388636,0.2790697674418605,0.4453781512605042
2024,19.0,6.5,157000.0,37000.0,120000.0,DEU,73551.9347696836,83516593,Germany,HIC,80.52666666666666,1879.8659566967729,1879.8659566967729,11.205747031185757,18.24055588864204,4.388588392509022,7.5389557536526794,7.5389557536526794,0.42727272727272725,0.2790697674418605
2015,2.3,0.35,2400.0,300.0,2100.0,DNK,48897.2099776611,5683483,Denmark,HIC,52.35333333333333,422.27626967477516,422.27626967477516,10.797475618163675,15.553074806989798,3.9580156092786187,6.045659767310513,6.045659767310513,0.4035087719298245,0.6347992351816443
2016,0.84,0.4,4540.0,340.0,4200.0,DNK,51820.9521305491,5728010,Denmark,HIC,43.54833333333334,792.5963816403952,792.5963816403952,10.855549827751803,15.560878733431151,3.7738714323786655,6.675314115568518,6.675314115568518,0.8916666666666666,0.4035087719298245
2017,0.6,0.42,4590.0,390.0,4200.0,DNK,55271.5976002659,5764980,Denmark,HIC,54.2475,796.1866303092118,796.1866303092118,10.920014449787988,15.567312242468525,3.9935569084094085,6.679833618550341,6.679833618550341,0.011013215859030812,0.8916666666666666
2018,2.1,0.59,4700.0,400.0,4300.0,DNK,57233.6231685618,5793636,Denmark,HIC,71.06083333333333,811.2349481396484,811.2349481396484,10.954896822302977,15.572270631727315,4.263536317703028,6.6985577139351085,6.6985577139351085,0.023965141612200425,0.011013215859030812
2019,4.2,0.96,4960.0,460.0,4500.0,DNK,60594.966400191,5814422,Denmark,HIC,64.35833333333333,853.051257717448,853.051257717448,11.01196710590439,15.575851940886242,4.164466425787218,6.7488196367970055,6.7488196367970055,0.05531914893617018,0.023965141612200425
2020,16.0,2.3,870.0,870.0,,DNK,62682.2899474389,5831404,Denmark,HIC,41.759166666666665,149.1922013978109,149.1922013978109,11.04583422974388,15.578768352661008,3.731918988075146,5.005235416951895,5.005235416951895,-0.8245967741935484,0.05531914893617018
2021,35.0,5.2,890.0,890.0,,DNK,69715.1809680929,5856733,Denmark,HIC,70.6775,151.96185313552795,151.96185313552795,11.152173377452947,15.583102497555105,4.2581272761411615,5.023629523135354,5.023629523135354,0.02298850574712641,-0.8245967741935484
2022,38.0,7.8,11400.0,1400.0,10000.0,DNK,78913.6534913127,5903037,Denmark,HIC,100.77749999999999,1931.2093080222942,1931.2093080222942,11.276109539915003,15.590977522202506,4.612915116435538,7.565901670144356,7.565901670144356,11.808988764044944,0.02298850574712641
